Country (mentioned),Review Date,Claim,Source,Label,Fact-checked Article,clean_claims,clean_claims_wsw
Indonesia,"Mar 10, 2021","The video that is claimed to be a Covid-19 vaccination video at Taman Anggrek Mall, West Jakarta.",facebook,0,https://cekfakta.tempo.co/fakta/1279/keliru-klaim-ini-video-vaksinasi-covid-19-di-taman-anggrek-yang-ciptakan-kerumunan,the video that is claimed to be covid vaccination video at taman anggrek mall west jakarta,video claimed covid vaccination video taman anggrek mall west jakarta
Israel,"Mar 10, 2021","In Israel, those vaccinated against Sars-CoV-2 have a 40 times higher mortality than those not vaccinated.",multiple sources,0,https://poligrafo.sapo.pt/fact-check/vacinacao-contra-a-covid-19-fez-aumentar-taxa-de-mortalidade-em-idosos-de-israel,in israel those vaccinated against sars cov have times higher mortality than those not vaccinated,israel vaccinated sars cov times higher mortality vaccinated
Democratic Republic of Congo,"Mar 10, 2021",The anti-Covid vaccine is mandatory in the DRC,multiple sources,0,https://factuel.afp.com/non-le-vaccin-contre-le-covid-19-na-pas-ete-rendu-obligatoire-en-rdc,the anti covid vaccine is mandatory in the drc,anti covid vaccine mandatory drc
Colombia,"Mar 10, 2021","Each vaccine in Colombia has cost us 1,363,326 pesos: Gonzalo Guillén",twitter,0,https://colombiacheck.com/index.php/chequeos/gonzalo-guillen-miente-sobre-los-costos-de-las-vacunas-contra-el-covid-19,each vaccine in colombia has cost us pesos gonzalo guillen,vaccine colombia cost us pesos gonzalo guillen
United Kingdom,"Mar 10, 2021","Michael Yeadon, who wrote that ""there is absolutely no need for vaccines to extinguish the pandemic,"" was once Pfizer's chief scientific officer.",website,0,https://www.snopes.com/fact-check/pfizer-chief-scientist-vaccines/,michael yeadon who wrote that there is absolutely no need for vaccines to extinguish the pandemic was once pfizers chief scientific officer,michael yeadon wrote absolutely need vaccines extinguish pandemic pfizers chief scientific officer
Israel,"Mar 10, 2021","In Israel, those vaccinated against Sars-CoV-2 have a 40 times higher mortality than those not vaccinated.",facebook,0,https://dpa-factchecking.com/belgium/210310-99-759940/,in israel those vaccinated against sars cov have times higher mortality than those not vaccinated,israel vaccinated sars cov times higher mortality vaccinated
Iceland,"Mar 10, 2021",Iceland lifts all coronavirus restrictions.,multiple sources,0,https://factual.afp.com/islandia-no-levanto-todas-las-restricciones-por-la-pandemia-y-el-video-de-un-festejo-es-de-2016,iceland lifts all coronavirus restrictions,iceland lifts coronavirus restrictions
Switzerland,"Mar 9, 2021",The curve of hospitalizations of Covid-19 patients is comparable to that of influenza cases in Switzerland,multiple sources,0,https://factuel.afp.com/non-cette-courbe-des-hospitalisations-de-malades-du-covid-19-nest-pas-comparable-celle-des-cas-de,the curve of of covid patients is comparable to that of influenza cases in switzerland,curve covid patients comparable influenza cases switzerland
Russia,"Mar 9, 2021",Russian soldiers are forcibly vaccinating people against Covid-19,facebook,0,https://cinjenice.afp.com/video-sa-ruskim-vojnicima-koji-prisilno-vakcinisu-ljude-protiv-covid-19-je-satirican,russian soldiers are forcibly vaccinating people against covid,russian soldiers forcibly vaccinating people covid
United States,"Mar 9, 2021","""With this bill, they’re going to people in prison, they’re going to people who are illegal immigrants.""",person,1,https://www.washingtonpost.com/politics/2021/03/09/murderers-undocumented-immigrants-hyped-claims-about-whos-getting-stimulus-checks/,with this bill theyre going to people in prison theyre going to people who are illegal immigrants,bill theyre going people prison theyre going people illegal immigrants
Germany,"Mar 9, 2021","Whistleblower from the Berlin nursing home: the terrible deaths after vaccination For the first time, there is an eyewitness report from a Berlin nursing home about the situation after vaccination. She comes from the AGAPLESION Bethanien Havelgarten retirement home in Berlin-Spandau. There, within four weeks of the first vaccination with the BioNTech / Pfizer Comirnaty vaccine, eight of the 31 seniors, who suffered from dementia but were in good physical condition based on their age prior to vaccination, died. The first death occurred after just six days, and five other elderly people died about 14 days after the vaccination. The first symptoms of the disease had already appeared shortly after the vaccination. From the information available to 2020News, patients have not been duly informed about the risks of this vaccine. Attorney Viviane Fischer and Attorney Dr. Reiner Füllmich of the Crown Committee spoke in a video interview with the whistleblower about the closest circumstances of vaccination, the symptoms that occurred and the different nature of deaths in temporal connection with vaccination "".",facebook,1,https://facta.news/fuori-contesto/2021/03/09/i-terribili-decessi-di-anziani-nella-casa-di-riposo-di-berlino-non-sono-dovuti-al-vaccino-ma-alla-covid-19/,whistleblower from the berlin nursing home the terrible deaths after vaccination for the first time there is an eyewitness report from berlin nursing home about the situation after vaccination she comes from the agaplesion bethanien havelgarten retirement home in berlin spandau there within four weeks of the first vaccination with the biontech pfizer comirnaty vaccine eight of the seniors who suffered from dementia but were in good physical condition based on their age prior to vaccination died the first death occurred after just six days and five other elderly people died about days after the vaccination the first symptoms of the disease had already appeared shortly after the vaccination from the information available to news patients have not been duly informed about the risks of this vaccine attorney viviane fischer and attorney dr reiner fullmich of the crown committee spoke in video interview with the whistleblower about the closest circumstances of vaccination the symptoms that occurred and the different nature of deaths in temporal connection with vaccination,whistleblower berlin nursing home terrible deaths vaccination first time eyewitness report berlin nursing home situation vaccination comes agaplesion bethanien havelgarten retirement home berlin spandau within four weeks first vaccination biontech pfizer comirnaty vaccine eight seniors suffered dementia good physical condition based age prior vaccination died first death occurred six days five elderly people died days vaccination first symptoms disease already appeared shortly vaccination information available news patients duly informed risks vaccine attorney viviane fischer attorney dr reiner fullmich crown committee spoke video interview whistleblower closest circumstances vaccination symptoms occurred different nature deaths temporal connection vaccination
United States,"Mar 9, 2021","Incarcerated people, including those who were convicted for murder like Dzhokhar Tsarnaev, will be getting stimulus relief checks as part of the latest COVID-19 relief bill in March 2021.",twitter,1,https://www.snopes.com/fact-check/incarcerated-covid19-checks/,incarcerated people including those who were convicted for murder like dzhokhar tsarnaev will be getting stimulus relief checks as part of the latest covid relief bill in march,incarcerated people including convicted murder like dzhokhar tsarnaev getting stimulus relief checks part latest covid relief bill march
Austria,"Mar 9, 2021",Austria suspended use of AstraZeneca vaccine after vaccinated person died,multiple sources,0,https://factuel.afp.com/non-lautriche-na-pas-suspendu-lutilisation-du-vaccin-astrazeneca-contre-le-covid-19,austria suspended use of astrazeneca vaccine after vaccinated person died,austria suspended use astrazeneca vaccine vaccinated person died
United States,"Mar 9, 2021",Immigrants are being released into the U.S. without being tested for COVID-19.,social media,1,https://misbar.com/en/factcheck/2021/03/09/most-immigrants-are-tested-for-covid,immigrants are being released into the without being tested for covid,immigrants released without tested covid
United States,"Mar 9, 2021","The ""virologist and immunologist"" Robert Oswald examined 1,500 ""allegedly positive"" corona samples under a scanning electron microscope and only found influenza viruses. He wrote that Covid-19 did not exist and was fictional.",social media,0,https://www.tjekdet.dk/faktatjek/nej-amerikansk-professor-har-ikke-sagt-covid-19-ikke-findes,the virologist and immunologist robert oswald examined allegedly positive corona samples under scanning electron microscope and only found influenza viruses he wrote that covid did not exist and was fictional,virologist immunologist robert oswald examined allegedly positive corona samples scanning electron microscope found influenza viruses wrote covid exist fictional
Europe,"Mar 9, 2021","Council of Europe makes ""any vaccination obligation"" ""illegal""",multiple sources,0,https://factuel.afp.com/non-cette-resolution-du-conseil-de-leurope-ne-proscrirait-pas-une-obligation-vaccinale,council of europe makes any vaccination obligation illegal,council europe makes vaccination obligation illegal
Switzerland,"Mar 9, 2021",Swiss medical orgnisation publishes this poster to advise people not to get vaccinated against Covid-19.,multiple sources,0,https://factcheck.afp.com/poster-has-been-doctored-health-notice-promoting-coronavirus-jab,swiss medical orgnisation publishes this poster to advise people not to get vaccinated against covid,swiss medical orgnisation publishes poster advise people get vaccinated covid
United States,"Mar 9, 2021","“Dylann Roof murdered nine people. He’s on federal death row. He’ll be getting a $1,400 stimulus check as part of the Democrats’ ‘COVID relief’ bill.”",person,1,https://www.washingtonpost.com/politics/2021/03/09/murderers-undocumented-immigrants-hyped-claims-about-whos-getting-stimulus-checks/,dylann roof murdered nine people hes on federal death row hell be getting stimulus check as part of the democrats covid relief bill,dylann roof murdered nine people hes federal death row hell getting stimulus check part democrats covid relief bill
Brazil,"Mar 9, 2021",There were no deaths from Covid-19 in the city of Rancho Queimado.,social media,0,https://www.aosfatos.org/noticias/e-falso-que-nao-houve-mortes-por-covid-19-na-cidade-de-rancho-queimado/,there were no deaths from covid in the city of rancho queimado,deaths covid city rancho queimado
Mexico,"Mar 9, 2021",We do not have hospitals collapsed from COVID deaths. We have hospitals intentionally saturated by the COVID protocol,social media,0,https://www.animalpolitico.com/elsabueso/falso-protocolo-hospitalizar-pacientes-asintomaticos/,we do not have hospitals collapsed from covid deaths we have hospitals intentionally saturated by the covid protocol,hospitals collapsed covid deaths hospitals intentionally saturated covid protocol
United Kingdom,"Mar 9, 2021","Government data shows 460 deaths and 243,612 injuries from Covid-19 vaccines in the UK.",multiple sources,0,https://fullfact.org/online/460-vaccine-deaths-yellow-card/,government data shows deaths and injuries from covid vaccines in the uk,government data shows deaths injuries covid vaccines uk
China,"Mar 9, 2021","The Wuhan biological laboratory belongs to the pharmaceutical company Glaxo, which explains the origin of a pandemic that enslaves society",facebook,0,https://www.efe.com/efe/espana/efeverifica/el-laboratorio-de-wuhan-glaxo-pfizer-y-la-oms-no-han-colaborado-en-un-plan-para-originar-pandemia/50001435-4483618,the wuhan biological laboratory belongs to the pharmaceutical company glaxo which explains the origin of pandemic that enslaves society,wuhan biological laboratory belongs pharmaceutical company glaxo explains origin pandemic enslaves society
Argentina,"Mar 9, 2021",Argentina is among the 10 countries with the most deaths per million inhabitants in the world,twitter,0,https://chequeado.com/ultimas-noticias/waldo-wolff-la-argentina-esta-entre-los-10-paises-con-mas-muertos-por-millon-de-habitantes-en-el-mundo/,argentina is among the countries with the most deaths per million inhabitants in the world,argentina among countries deaths per million inhabitants world
Belgium,"Mar 8, 2021",68% of doctors are against the (corona) vaccine.,facebook,1,https://dpa-factchecking.com/belgium/210308-99-737707/,of doctors are against the corona vaccine,doctors corona vaccine
" Indonesia
","Mar 8, 2021",Lots of Data on People Died as a Result of the Covid-19 Vaccine,No data,0,https://cekfakta.com/focus/6486,lots of data on people died as result of the covid vaccine,lots data people died result covid vaccine
United States,"Mar 8, 2021",“Not one [COVID-19] vaccine is FDA approved. [...] They are all experimental.”,facebook,1,https://healthfeedback.org/claimreview/covid-19-vaccines-received-emergency-use-authorization-from-the-fda-after-clinical-trials-demonstrated-that-they-are-safe-and-effective-covid-19-vaccines-arent-experimenta/,not one covid vaccine is fda approved they are all experimental,one covid vaccine fda approved experimental
Israel,"Mar 8, 2021",Pfizer vaccine increased the death rate of young people with covid-19 in Israel by 260 times,multiple sources,0,https://politica.estadao.com.br/blogs/estadao-verifica/nao-vacina-da-pfizer-nao-fez-mortalidade-de-covid-19-disparar-em-israel-casos-graves-diminuiram-apos-inicio-da-imunizacao/,pfizer vaccine increased the death rate of young people with covid in israel by times,pfizer vaccine increased death rate young people covid israel times
United Kingdom,"Mar 8, 2021",Vaccines cause 600 cases of eye disease and leave five people blind in the UK,social media,0,https://politica.estadao.com.br/blogs/estadao-verifica/site-distorce-dados-preliminares-de-possiveis-eventos-adversos-da-vacinacao-no-reino-unido/,vaccines cause cases of eye disease and leave five people blind in the uk,vaccines cause cases eye disease leave five people blind uk
Portugal,"Mar 8, 2021","But do you even know what you""re injecting me with? No. It is forbidden to know, the formula is confidential and secret.",facebook,0,https://observador.pt/factchecks/fact-check-formula-da-vacina-contra-a-covid-19-e-confidencial/,but do you even know what you re injecting me with no it is forbidden to know the formula is confidential and secret,even know injecting forbidden know formula confidential secret
United Kingdom,"Mar 8, 2021",David Icke makes claims about Covid-19,website,0,https://factcheck.afp.com/david-icke-interview-resurfaces-multiple-0-claims-about-covid-19,david icke makes claims about covid,david icke makes claims covid
Australia,"Mar 8, 2021",Australia’s New South Wales declared end to Covid-19 pandemic.,multiple sources,1,https://factcheck.afp.com/1-posts-claim-australias-new-south-wales-declared-end-covid-19-pandemic,australias new south wales declared end to covid pandemic,australias new south wales declared end covid pandemic
United States,"Mar 8, 2021",Illegal immigrants will receive stimulus checks.,person,0,https://www.newsweek.com/fact-check-will-illegal-immigrants-receive-stimulus-checks-ted-cruz-says-1574627,illegal immigrants will receive stimulus checks,illegal immigrants receive stimulus checks
Italy,"Mar 8, 2021","""San Marino, 2km from Rimini, all open 24 hours a day""",facebook,0,https://facta.news/notizia-falsa/2021/03/08/non-e-vero-che-a-san-marino-e-tutto-aperto-24h-al-giorno/,san marino km from rimini all open hours day,san marino km rimini open hours day
Philippines,"Mar 8, 2021","President Duterte says he ""cannot just decide"" to get vaccinated without the recommendation of his doctor.",person,0,https://verafiles.org/articles/vera-files-fact-check-evolution-dutertes-covid-19-vaccinatio,president duterte says he cannot just decide to get vaccinated without the recommendation of his doctor,president duterte says cannot decide get vaccinated without recommendation doctor
World Wide,"Mar 8, 2021",The director of the WHO in Europe has announced that the pandemic will end in a few months without the need for vaccination,social media,0,https://www.newtral.es/bulo-oms-fin-pandemia-cerca-necesidad-vacuna/20210308/,the director of the who in europe has announced that the pandemic will end in few months without the need for vaccination,director europe announced pandemic end months without need vaccination
Spain,"Mar 8, 2021","In Spain, 62,448 new deaths have appeared in 30 days, the figures do not add up, there is a deception in those who died from covid-19",multiple sources,0,https://factual.afp.com/la-cifra-de-fallecimientos-en-espana-en-2020-y-anos-anteriores-sigue-actualizandose-en-2021,in spain new deaths have appeared in days the figures do not add up there is deception in those who died from covid,spain new deaths appeared days figures add deception died covid
United States,"Mar 8, 2021",966 People Died After Receiving the COVID vaccine,news media,1,https://www.newsweek.com/covid-vaccine-deaths-cause-pfizer-moderna-fact-check-966-died-1574447,people died after receiving the covid vaccine,people died receiving covid vaccine
Mexico,"Mar 7, 2021","""We will donate half of our budget for the purchase of vaccines against COVID-19, with this money it will be possible to buy around 10 million doses that will go directly to the People of Mexico""",government department,1,https://www.animalpolitico.com/elsabueso/morena-dice-que-donara-50-de-su-presupuesto-para-vacunas-spot-es-enganoso/,we will donate half of our budget for the purchase of vaccines against covid with this money it will be possible to buy around million doses that will go directly to the people of mexico,donate half budget purchase vaccines covid money possible buy around million doses go directly people mexico
Brazil,"Mar 7, 2021",There were no deaths from Covid-19 in the city of Rancho Queimado.,social media,0,https://www.boatos.org/saude/rancho-queimado-zerou-mortes-covid-tratamento-precoce.html,there were no deaths from covid in the city of rancho queimado,deaths covid city rancho queimado
Brazil,"Mar 6, 2021",Early treatment prevented deaths in Búzios.,flavio bolsonaro,0,https://noticias.uol.com.br/comprova/ultimas-noticias/2021/03/06/buzios-nao-zerou-casos-de-covid-pos-carnaval-gracas-a-tratamento-precoce.htm,early treatment prevented deaths in buzios,early treatment prevented deaths buzios
Indonesia,"Mar 6, 2021",Provision of the Covid-19 Vaccine by the Research and Development Agency,social media,0,https://cekfakta.com/focus/6477,provision of the covid vaccine by the research and development agency,provision covid vaccine research development agency
United States,"Mar 6, 2021",The Senate passed a COVID-19 relief bill.,twitter,2,https://misbar.com/en/factcheck/2021/03/06/senate-passes-covid-19-relief-bill,the senate passed covid relief bill,senate passed covid relief bill
Brazil,"Mar 6, 2021","Portuguese TV reveals that deaths by Covid-19 in Brazil are a scam and that states took advantage to receive federal funds, video shows. ",social media,0,https://www.boatos.org/saude/tv-portuguesa-mortes-covid-19-estados-verba.html,portuguese tv reveals that deaths by covid in brazil are scam and that states took advantage to receive federal funds video shows,portuguese tv reveals deaths covid brazil scam states took advantage receive federal funds video shows
Spain,"Mar 5, 2021","Victoria Abril: covid-19 is a plandemic, coronacircus, it represents few deaths, humans are guinea pigs",person,0,https://factual.afp.com/la-actriz-victoria-abril-describe-un-coronacirco-lleno-de-datos-falsos-o-enganosos,victoria abril covid is plandemic coronacircus it represents few deaths humans are guinea pigs,victoria abril covid plandemic coronacircus represents deaths humans guinea pigs
Argentina,"Mar 5, 2021",This woman suffered a seizure after being vaccinated against covid-19 in Argentina.,social media,0,https://maldita.es/malditobulo/20210305/mujer-convulsiona-video-vacunada-covid-19-argentina-sputnik/,this woman suffered seizure after being vaccinated against covid in argentina,woman suffered seizure vaccinated covid argentina
United States,"Mar 5, 2021",California has its own COVID-19 variant.,twitter,2,https://misbar.com/en/factcheck/2021/03/05/california-has-its-own-covid-variant,california has its own covid variant,california covid variant
United States,"Mar 5, 2021",COVID-Positive Migrants Are Being Allowed to Cross the Southern Border Into the U.S.,person,1,https://www.newsweek.com/fact-check-are-covid-positive-migrants-allowed-cross-southern-border-us-1574162,covid positive migrants are being allowed to cross the southern border into the,covid positive migrants allowed cross southern border
Brazil,"Mar 5, 2021","The peak of the virus will be from April 6th to April 20th, if the peak of cases is really these days, most people will be infected between today and next Wednesday.",whatsapp,0,https://piaui.folha.uol.com.br/lupa/2021/03/05/verificamos-comunicado-unimed-pico/,the peak of the virus will be from april th to april th if the peak of cases is really these days most people will be infected between today and next wednesday,peak virus april th april th peak cases really days people infected today next wednesday
United States,"Mar 5, 2021",U.S. Sen. Krysten Sinema brought cake to the Senate and voted against including a federal minimum wage increase in a $1.9 trillion COVID-19 relief package.,twitter,1,https://www.snopes.com/fact-check/sinema-cake/,sen krysten sinema brought cake to the senate and voted against including federal minimum wage increase in trillion covid relief package,sen krysten sinema brought cake senate voted including federal minimum wage increase trillion covid relief package
Russia,"Mar 5, 2021","Russia became the first country in the world to perform an autopsy ""by"" COVID-19 and after a thorough investigation, found that COVID-19 does not exist as a virus.",multiple sources,0,https://www.ellinikahoaxes.gr/2021/03/05/covid-19-autopsies-germany-proved-there-is-no-coronavirus-misinformation/,russia became the first country in the world to perform an autopsy by covid and after thorough investigation found that covid does not exist as virus,russia became first country world perform autopsy covid thorough investigation found covid exist virus
Israel,"Mar 5, 2021","In Israel, those vaccinated against Sars-CoV-2 have a 40 times higher mortality than those not vaccinated.",social media,0,https://www.boatos.org/mundo/vacina-pfizer-faz-mortalidade-covid-19-aumentar-em-israel.html,in israel those vaccinated against sars cov have times higher mortality than those not vaccinated,israel vaccinated sars cov times higher mortality vaccinated
Israel,"Mar 5, 2021","In Israel, those vaccinated against Sars-CoV-2 have a 40 times higher mortality than those not vaccinated.",multiple sources,0,https://www.snopes.com/fact-check/pfizer-vaccine-israel/,in israel those vaccinated against sars cov have times higher mortality than those not vaccinated,israel vaccinated sars cov times higher mortality vaccinated
Brazil,"Mar 5, 2021","The peak of the virus will be from April 6th to April 20th, if the peak of cases is really these days, most people will be infected between today and next Wednesday.",social media,0,https://politica.estadao.com.br/blogs/estadao-verifica/alerta-sobre-pico-do-virus-em-abril-foi-divulgado-pela-unimed-em-2020/,the peak of the virus will be from april th to april th if the peak of cases is really these days most people will be infected between today and next wednesday,peak virus april th april th peak cases really days people infected today next wednesday
South Korea,"Mar 5, 2021",South Korea destroyed Covid-19 vaccines after failing to maintain storage temperature.,multiple sources,0,https://factcheck.afp.com/south-korean-health-authorities-seizure-covid-19-vaccines-sparks-0-claims-online,south korea destroyed covid vaccines after failing to maintain storage temperature,south korea destroyed covid vaccines failing maintain storage temperature
Argentina,"Mar 5, 2021",This woman suffered a seizure after being vaccinated against covid-19 in Argentina.,facebook,1,https://facta.news/fuori-contesto/2021/03/05/la-donna-in-questo-video-non-e-stata-male-a-causa-di-un-vaccino-anti-covid/,this woman suffered seizure after being vaccinated against covid in argentina,woman suffered seizure vaccinated covid argentina
United States,"Mar 5, 2021",The vaccine is being made by MIT which is a deep state cabal company.,facebook,0,https://fullfact.org/health/nottingham-conspiracy-theories/,the vaccine is being made by mit which is deep state cabal company,vaccine made mit deep state cabal company
Brazil,"Mar 5, 2021",Hospital equipment was abandoned by the MS government,social media,0,https://politica.estadao.com.br/blogs/estadao-verifica/camas-hospitalares-no-ms-foram-desativadas-no-segundo-semestre-de-2020-e-nao-no-inicio-da-pandemia/,hospital equipment was abandoned by the ms government,hospital equipment abandoned ms government
China,"Mar 5, 2021",China has started to use anal swabs in order to test for COVID-19.,multiple sources,1,https://fakenews.pl/zdrowie/czy-chiny-zarzadzily-testy-analne-na-covid-19-sprawdzamy/,china has started to use anal swabs in order to test for covid,china started use anal swabs order test covid
Malaysia,"Mar 5, 2021","The picture shows a suspicious needle exchange during the Malaysian prime minister""s Covid-19 injection.",multiple sources,1,https://semakanfakta.afp.com/tukar-jarum-bukan-bukti-bahawa-perdana-menteri-memalsukan-vaksinasi-covid-19-kata-para-pakar,the picture shows suspicious needle exchange during the malaysian prime minister covid injection,picture shows suspicious needle exchange malaysian prime minister covid injection
Israel,"Mar 5, 2021","""Researchers: Mortality Rates Shoot in Israel After Pfizer Vaccination Against COVID""",facebook,0,https://piaui.folha.uol.com.br/lupa/2021/03/05/verificamos-mortalidade-aumentou-israel-vacina/,researchers mortality rates shoot in israel after pfizer vaccination against covid,researchers mortality rates shoot israel pfizer vaccination covid
Spain,"Mar 5, 2021","Victoria Abril: covid-19 is a plandemic, coronacircus, it represents few deaths, humans are guinea pigs",person,1,https://www.verificat.cat/fact-check/les-afirmacions-0s-dana-maria-oliva-la-cientifica-que-nega-que-hi-hagi-morts-de-covid-19,victoria abril covid is plandemic coronacircus it represents few deaths humans are guinea pigs,victoria abril covid plandemic coronacircus represents deaths humans guinea pigs
Italy,"Mar 5, 2021",Doses of vaccine are wasted at the Niguarda hospital in Milan,facebook,0,https://facta.news/notizia-falsa/2021/03/05/no-allospedale-niguarda-non-ci-sono-dosi-di-vaccino-anti-covid-19-non-utilizzate-e-buttate-via/,doses of vaccine are wasted at the niguarda hospital in milan,doses vaccine wasted niguarda hospital milan
United States,"Mar 4, 2021",501 people died after taking the Covid vaccine.,social media,0,https://politica.estadao.com.br/blogs/estadao-verifica/cdc-informa-que-nao-confirmou-nenhuma-morte-relacionada-a-vacinas-contra-covid-19-nos-eua/,people died after taking the covid vaccine,people died taking covid vaccine
Malaysia,"Mar 4, 2021","The picture shows a suspicious needle exchange during the Malaysian prime minister""s Covid-19 injection.",multiple sources,1,https://factcheck.afp.com/change-needles-not-evidence-malaysian-pm-faked-covid-19-vaccination-experts-say,the picture shows suspicious needle exchange during the malaysian prime minister covid injection,picture shows suspicious needle exchange malaysian prime minister covid injection
India,"Mar 4, 2021",Video of police thrashing COVID curfew violators in Amravati.,facebook,0,https://www.vishvasnews.com/english/viral/fact-check-old-video-of-covid-19-lockdown-in-amravati-going-viral-as-recent/,video of police thrashing covid curfew violators in amravati,video police thrashing covid curfew violators amravati
Brazil,"Mar 4, 2021",The City Hall of Imperatriz is another of the municipal administrations in the sights of the Federal Police on suspicion of embezzlement of public money destined to combat Covid-19 in the city,facebook,0,https://piaui.folha.uol.com.br/lupa/2021/03/04/verificamos-apreensao-dinheiro-imperatriz/,the city hall of imperatriz is another of the municipal administrations in the sights of the federal police on suspicion of embezzlement of public money destined to combat covid in the city,city hall imperatriz another municipal administrations sights federal police suspicion embezzlement public money destined combat covid city
Philippines,"Mar 4, 2021",Teachers are the last in the government's priority list for COVID-19 vaccination.,person,0,https://verafiles.org/articles/vera-files-fact-check-marcoleta-errs-claiming-teachers-last,teachers are the last in the governments priority list for covid vaccination,teachers last governments priority list covid vaccination
Switzerland,"Mar 4, 2021","According to a head physician at the Bethanien Clinic, Thomas Voshaar, 90 percent of Covid intensive care patients have a migration background, and according to RKI boss Lothar Wieler, “well over 50 percent” people of Muslim faith are in intensive care units.",social media,0,https://correctiv.org/faktencheck/2021/03/04/herkunft-von-covid-patienten-wird-in-deutschland-nicht-erfasst-bild-reisst-laut-rki-und-bethanien-klinik-aussagen-aus-dem-kontext/,according to head physician at the bethanien clinic thomas voshaar percent of covid intensive care patients have migration background and according to rki boss lothar wieler well over percent people of muslim faith are in intensive care units,according head physician bethanien clinic thomas voshaar percent covid intensive care patients migration background according rki boss lothar wieler well percent people muslim faith intensive care units
Philippines,"Mar 4, 2021",Photo of Philippine Vice President Leni Robredo staging a Covid-19 vaccination stunt,multiple sources,0,https://factcheck.afp.com/photo-shows-doctor-receiving-covid-19-jab-not-leni-robredo,photo of philippine vice president leni robredo staging covid vaccination stunt,photo philippine vice president leni robredo staging covid vaccination stunt
Argentina,"Mar 4, 2021",This woman suffered a seizure after being vaccinated against covid-19 in Argentina.,social media,0,https://factcheck.afp.com/video-shows-patient-having-seizure-hospital-argentina-not-covid-19-vaccine-recipient,this woman suffered seizure after being vaccinated against covid in argentina,woman suffered seizure vaccinated covid argentina
India,"Mar 4, 2021",An anti-covid kit is distributed in India which eradicates the disease in 48 hours,facebook,0,https://facta.news/fuori-contesto/2021/03/04/il-kit-contro-la-covid-19-distribuito-in-uno-stato-indiano-non-debella-la-malattia-in-48-ore/,an anti covid kit is distributed in india which eradicates the disease in hours,anti covid kit distributed india eradicates disease hours
Brazil,"Mar 4, 2021",Early treatment prevented deaths in Búzios.,flávio bolsonaro,0,https://politica.estadao.com.br/blogs/estadao-verifica/e-falso-que-buzios-tenha-zerado-casos-de-covid-19-depois-do-carnaval-com-tratamento-precoce/,early treatment prevented deaths in buzios,early treatment prevented deaths buzios
Argentina,"Mar 4, 2021",This woman suffered a seizure after being vaccinated against covid-19 in Argentina.,multiple sources,0,https://checamos.afp.com/mulher-que-sofreu-uma-convulsao-em-um-hospital-argentino-nao-foi-vacinada-contra-covid-19,this woman suffered seizure after being vaccinated against covid in argentina,woman suffered seizure vaccinated covid argentina
India,"Mar 4, 2021",The cause of the death of four health workers recently was the Covid-19 vaccine,facebook,0,https://cekfakta.tempo.co/fakta/1268/keliru-klaim-empat-nakes-ini-meninggal-karena-vaksin-covid-19,the cause of the death of four health workers recently was the covid vaccine,cause death four health workers recently covid vaccine
United States,"Mar 4, 2021",The DHS released thousands of COVID-positive migrants into the United States.,person,1,https://misbar.com/en/factcheck/2021/03/04/thousands-of-covid-positive-migrants-were-not-released-into-the-us,the dhs released thousands of covid positive migrants into the united states,dhs released thousands covid positive migrants united states
United States,"Mar 4, 2021",California is vaccinating homeless people and prison inmates against COVID-19 before others,person,1,https://www.usatoday.com/story/news/factcheck/2021/03/03/fact-check-calif-vaccine-plan-doesnt-prioritize-homeless-prisoners/6901332002/,california is vaccinating homeless people and prison inmates against covid before others,california vaccinating homeless people prison inmates covid others
Iceland,"Mar 4, 2021",Iceland is the first country to allow unvaccinated and untested people to enter the country.,person,0,https://dpa-factchecking.com/germany/210304-99-687570/,iceland is the first country to allow unvaccinated and untested people to enter the country,iceland first country allow unvaccinated untested people enter country
China,"Mar 4, 2021",Corona ended in China - without a vaccine.,person,0,https://dpa-factchecking.com/germany/210225-99-593486/,corona ended in china without vaccine,corona ended china without vaccine
China,"Mar 4, 2021",China has started to use anal swabs in order to test for COVID-19.,twitter,1,https://www.newsweek.com/fact-check-are-anal-swabs-test-covid-19-mandatory-china-1573912,china has started to use anal swabs in order to test for covid,china started use anal swabs order test covid
Nigeria,"Mar 4, 2021","I’m appalled that many African leaders, whether they are government leaders or business leaders or whatever, industry leaders, whatever. Those who are expecting vaccines from nowhere believing that somehow they should be given these vaccines from abroad and some of these vaccines are clearly labelled not for distribution in Europe, in fact, it says in the EU, USA or Canada.”",person,0,https://ghanafact.com/2021/03/fact-check-pastor-chris-promotes-covid-19-conspiracy-theories/,im appalled that many african leaders whether they are government leaders or business leaders or whatever industry leaders whatever those who are expecting vaccines from nowhere believing that somehow they should be given these vaccines from abroad and some of these vaccines are clearly labelled not for distribution in europe in fact it says in the eu usa or canada,im appalled many african leaders whether government leaders business leaders whatever industry leaders whatever expecting vaccines nowhere believing somehow given vaccines abroad vaccines clearly labelled distribution europe fact says eu usa canada
England,"Mar 4, 2021",“Now a Public Health England report confirms that infections increase during the fortnight after vaccination”,person,1,https://healthfeedback.org/claimreview/covid-19-vaccines-start-to-provide-protection-within-two-weeks-of-the-first-dose-with-no-evidence-they-increase-the-risk-of-infection-before-then-niall-mccrae-gateway-pundit/,now public health england report confirms that infections increase during the fortnight after vaccination,public health england report confirms infections increase fortnight vaccination
