Country (mentioned),Review Date,Claim,Source,Label,Fact-checked Article
United States,"May 19, 2021",Document shows Coronavirus being tested as a biological weapon 5 years before the Chinese pandemic,social media,0,https://www.newtral.es/bulo-documentos-2015-china-coronavirus-arma-biologica/20210519/
United States,"May 19, 2021","US Agency for Disease Control (CDC) ""admits 94% of deaths attributed to Covid are not""",multiple sources,0,https://factuel.afp.com/non-lagence-americaine-de-controle-des-maladies-na-pas-admis-que-94-des-morts-attribuees-au-covid-ne
France,"May 19, 2021","French military personnel have said that Covid-19 is a total war against the population to enslave, control, sterilize and reduce it",facebook,0,https://observador.pt/factchecks/fact-check-militares-franceses-afirmaram-que-covid-19-e-uma-guerra-total-contra-a-populacao-mundial/
Spain,"May 19, 2021",Health personnel who vaccinate against covid-19 may be tried for war crimes.,facebook,0,https://www.efe.com/efe/espana/efeverifica/no-es-cierto-que-vacunar-contra-la-covid-19-sea-un-crimen-de-guerra/50001435-4540571
France,"May 19, 2021",The prestigious French epidemiologist Eric Caumes affirms that he is not going to be vaccinated against covid-19 because he has never seen such a high rate of adverse effects,news media,3,https://www.snopes.com/fact-check/eric-clapton-feared-guitar-covid/
India,"May 19, 2021",The ‘Indian variant’ hasn’t affected the countries between India and the UK.,facebook,0,https://fullfact.org/health/indian-variants-sequencing/
Israel,"May 18, 2021",Prof. epidemiology at Yale says of the corona situation in Israel that more than half of new corona cases are in people who have already been vaccinated.,facebook,0,https://dpa-factchecking.com/belgium/210517-99-628438/
Russia,"May 18, 2021",Russia was the first country in the world to dissect Covid-19 corpses (going against WHO’s criminal orders of no autopsies.),website,0,https://fullfact.org/online/russia-autopsy-covid-5g/
Laos,"May 18, 2021",Thai tourists can get free Covid-19 vaccines in neighbouring Laos,multiple sources,0,https://factcheck.afp.com/online-posts-0ly-claim-thai-tourists-get-free-covid-19-vaccines-neighbouring-laos
Canada,"May 18, 2021",The Supreme Court of Canada accepted the case for crimes against humanity.,multiple sources,0,https://www.boomlive.in/world/fake-news-canada-supreme-court-covid-19-crimes-justin-trudeau-doug-ford-13178
Israel,"May 18, 2021",Video shows Israeli Prime Minister Benjamin Netanyahu threatening to kill Muslims with vaccines,multiple sources,0,https://factcheck.afp.com/0-posts-misrepresent-video-israeli-pm-netanyahu-talking-about-his-covid-19-vaccination
Indonesia,"May 18, 2021",The number of COVID-19 cases in JATIM explodes,whatsapp,1,https://cekfakta.com/focus/6945
India,"May 18, 2021",Indian destroying Idols of God for not protecting them against COVID-19.,social media,0,https://thelogicalindian.com/fact-check/hindus-throwing-idol-28367
Russia,"May 18, 2021",Ventilators and intensive care units were never used in Russia.,website,0,https://fullfact.org/online/russia-autopsy-covid-5g/
Brazil,"May 18, 2021","""I have never promoted any friction with China, either before or during the pandemic""",person,0,https://noticias.uol.com.br/confere/ultimas-noticias/2021/05/18/checagem-uol-confere-depoimento-ernesto-araujo-cpi-da-covid.htm
India,"May 18, 2021",Government is providing Covid-19 Relief Fund,social media,0,https://namibiafactcheck.org.na/report/no-there-is-no-covid-19-emergency-relief-fund-grant/
Japan,"May 18, 2021",The Red Cross won't accept plasma donations from people who have had the Covid vaccine.,social media,0,https://www.20minutes.fr/monde/3043999-20210519-coronavirus-japon-don-sang-suspendu-personnes-vaccinees-contre-covid-19-gare-message-trompeur
Brazil,"May 18, 2021","Dr Roberto Kalil: The ICU of Hospital Sirio Libanês has numerous cases of people vaccinated with 2 doses and presenting severe clinical conditions admitted to ICUs, that is, these vaccines do not offer the desired immunity",social media,0,https://www.boatos.org/saude/roberto-kalil-diz-sirio-libanes-esta-lotado-vacina-nao-oferece-imunidade-covid-19.html
Brazil,"May 18, 2021","""I have never promoted any friction with China, either before or during the pandemic""",person,0,https://www.bol.uol.com.br/noticias/2021/05/18/checagem-uol-confere-depoimento-ernesto-araujo-cpi-da-covid.htm
India,"May 18, 2021",AYUSH Ministry concoction cured 6000 Coronavirus patients,social media,1,https://newsmobile.in/articles/2021/05/18/fact-check-did-ayush-ministrys-recommended-decoction-cure-6000-covid-19-patients-heres-the-truth/
United States,"May 18, 2021","The COVID-19 stimulus package signed into law by President Joe Biden in March 2021 increases payments for recipients of the Child Tax Credit, and families can receive a portion of that credit in monthly installments.",No data,2,https://www.snopes.com/fact-check/expanded-child-tax-credit-2021/
United Kingdom,"May 18, 2021","The Covid-19 vaccines have killed 3,362 people in less than four months.",instagram,0,https://fullfact.org/health/VAERS-reporting-america/
Algeria,"May 17, 2021",Algerian presidency announces the opening of the borders at the end of the month.,social media,0,https://www.20minutes.fr/monde/3043151-20210517-coronavirus-algerie-oui-pays-bien-annonce-reouverture-frontieres-decret
India,"May 17, 2021",Indian destroying Idols of God for not protecting them against COVID-19.,social media,0,https://www.altnews.in/videos-of-dissolution-of-idols-of-hindu-gods-shared-with-0-claims/
United States,"May 17, 2021",Dr. Anthony Fauci and Peter Marks said 40% to 50% of CDC and FDA employees are refusing the COVID-19 vaccine,instagram,0,https://leadstories.com/hoax-alert/2021/05/fact-check-drs-fauci-marks-did-not-say-about-40-to-50-percent-of-cdc-fda-employees-are-not-refusing-the-covid-19-vaccine.html
United States,"May 17, 2021",CDC director admits that COVID-19 deaths were over-counted,person,0,https://healthfeedback.org/claimreview/us-cdc-director-didnt-state-that-covid-19-deaths-were-over-counted-her-statements-about-deaths-among-vaccine-breakthrough-cases-were-misinterpreted-jim-hoft-gateway-pundit/
Italy,"May 17, 2021",Bernini exaggerates a lot on the export of EU Covid-19 vaccines,person,0,https://pagellapolitica.it/dichiarazioni/8895/bernini-esagera-parecchio-sullexport-di-vaccini-covid-19-della-ue
Spain,"May 17, 2021","Those between 50 and 59 who want to be vaccinated and have not yet been summoned can send an email to mailto: dgsies@salud.madrid.org. And you detail ID, date of birth, address in Madrid and mobile phone and in less than 24 hours they summon you",social media,0,https://www.newtral.es/cita-vacuna-covid-comunidad-madrid-dgsies-bulo/20210517/
United States,"May 17, 2021",Ohio Surgeon Died Shortly After Receiving Second Shot Of Covid-19 Vaccine.,facebook,0,https://demagog.org.pl/fake_news/chirurg-plastyczny-zmarl-przez-szczepienie-fake-news/
India,"May 17, 2021",“Coronavirus cases are plummeting in India thanks to new rules that promote Ivermectin and hydroxychloroquine”; it is a “now-indisputable fact that [ivermectin and hydroxychloroquine] essentially kill COVID-19 within hours or days”,person,3,https://healthfeedback.org/claimreview/no-data-available-to-suggest-a-link-between-indias-reduction-of-covid-19-cases-and-the-use-of-ivermectin-jim-hoft-gateway-pundit/
India,"May 17, 2021",5G radiations are responsible for bird deaths or spread of COVID-19,multiple sources,0,https://factcheck.afp.com/image-has-circulated-online-least-2016
Italy,"May 17, 2021",The celebrations for the Inter championship were not followed by an increase in Covid-19 infections,news media,2,https://facta.news/notizia-vera/2021/05/17/ai-festeggiamenti-per-lo-scudetto-dellinter-non-e-seguito-un-aumento-dei-contagi-covid-19/
India,"May 17, 2021",The viral image is of a body floating in the river Ganga amid the second wave of the coronavirus pandemic.,social media,1,https://newsmobile.in/articles/2021/05/17/fact-check-old-picture-of-dog-scavenging-a-body-floating-in-water-revived-amid-covid-19-surge/
India,"May 17, 2021",The World Health Organization praised the Uttar Pradesh government's Covid-19 testing strategy.,news media,0,https://scroll.in/article/995026/fact-check-no-who-did-not-praise-the-up-government-for-its-covid-19-testing-strategy
France,"May 16, 2021","The French Drug Assessment Center, a government agency, has formally demanded the suspension of four COVID-19 vaccines as none of the four are safe or effective.",multiple sources,0,https://www.ellinikahoaxes.gr/2021/05/16/french-pharmacovigilance-agency-demands-pulling-four-dangerous-and-ineffective-covid-19-vaccines-misinformation/
India,"May 15, 2021",Covaxin COVID-19 vaccine has been approved for kids above 12 years.,social media,0,https://www.thequint.com/news/webqoof/covaxin-vaccine-has-not-been-approved-for-kids-above-12-years-yet
United States,"May 14, 2021",Two-year-old girl who had received the Pfizer vaccine only six days before dies,facebook,0,https://facta.news/antibufale/2021/05/14/no-negli-usa-un-bambino-di-due-anni-non-e-deceduto-durante-gli-esperimenti-sul-vaccino-pfizer/
India,"May 14, 2021","Amid the deadly second wave of Covid-19, pulse oximeters have become a household gadget in India. ",social media,0,https://www.indiatoday.in/fact-check/story/fact-chect-why-does-an-oximeter-display-oxygen-level-of-pens-1802334-2021-05-14
India,"May 14, 2021","As India’s coronavirus death toll soared, a video of shoppers at a packed market surfaced filmed in Delhi.",multiple sources,0,https://factcheck.afp.com/video-busy-market-during-pandemic-was-filmed-pakistan-not-india
United States,"May 14, 2021","Because of the U.S. Centers for Disease Control and Prevention announcement on May 13, 2021, fully vaccinated people can go anywhere without wearing masks.",social media,1,https://www.snopes.com/fact-check/cdc-mask-covid/
Brazil,"May 14, 2021","We had a handicap. We had no legal guarantee, it had to go through Anvisa. It is my irresponsibility (...) to simply accept the import of a vaccine that was still being tested.",jair bolsonaro,0,https://www.bol.uol.com.br/noticias/2021/05/13/checagem-live-bolsonaro-pfizer-cpi-da-covid-13-de-maio-de-2021.htm
United States,"May 14, 2021","U.S. Sen. Rand Paul was right about unmasking before the Centers for Disease Control and Prevention (CDC) announced on May 13, 2021, that fully vaccinated people no longer need to mask in public or private.",facebook,1,https://www.snopes.com/fact-check/rand-paul-right-about-masks/
Portugal,"May 14, 2021","Referring to the statistical data of deaths by Covid-19 in Portugal, with emphasis on the peak recorded in January 2021, it is claimed that ""deaths in Portugal increase dramatically after the start of vaccination"", pointing to the date of 29 December 2020.",facebook,0,https://poligrafo.sapo.pt/fact-check/mortes-por-covid-19-em-portugal-aumentaram-drasticamente-apos-inicio-da-vacinacao
India,"May 14, 2021",Important Notice. There is a news going on all the NEWS CHANNELS of the country since few days … Lack of OXYGEN … You all will be watching … Nothing to fear … Whichever brother has difficulty in breathing or is nervous !!! Put two or three drops of Carbo vegetabilis 30 or 200 (Homeopathy medicine) on your tongue and then see the result..This medicine is called oxygen cylinder in homeopathy..It fulfills the amount of oxygen in the body …. A medicine Every homeopathy is at the store … the brother who has trouble breathing …. homeopathic oxygen cylinder (CARBO VEG.) Can keep his house … will see you.,whatsapp,1,https://www.vishvasnews.com/english/health/fact-check-carbo-vegetabilis-homeopathy-medicine-cannot-be-a-substitute-for-medical-oxygen-viral-post-is-1/
India,"May 14, 2021",Indian Health Minister Harsh Vardhan flouts Covid-19 rules by not wearing a face mask,multiple sources,0,https://factcheck.afp.com/photo-was-taken-may-2019-months-covid-19-was-detected-india
India,"May 14, 2021",The viral image is of a body floating in the river Ganga amid the second wave of the coronavirus pandemic.,multiple sources,0,https://www.altnews.in/old-photo-shared-amid-reports-of-dead-bodies-of-suspected-covid-victims-found-in-ganga/
Spain,"May 14, 2021","Headline of the newspaper AS ""Vaccination of the elderly from 50 to 59 years: when does it start in each community and which one is going to get""",news media,0,https://maldita.es/malditobulo/20210514/diario-as-ancianos-50-59-a%C3%B1os-vacunacion-covid-19/
United Kingdom,"May 14, 2021",There were five deaths within 28 days of a positive Covid-19 test in the UK.,person,1,https://fullfact.org/online/1102-vaccine-adr-death/
China,"May 14, 2021",China ditched Covid-19 jabs in favour of “inhaled vaccines”,multiple sources,0,https://factcheck.afp.com/posts-0ly-claim-china-ditched-covid-19-jabs-favour-inhaled-vaccines
Switzerland,"May 14, 2021",Mortality in Switzerland increased after hydroxychloroquine ban,instagram,0,https://politica.estadao.com.br/blogs/estadao-verifica/mortalidade-covid-suica-aumentou-hidroxicloroquina/
Israel,"May 14, 2021",The Pfizer vaccine caused a health catastrophe in Israel,facebook,0,https://facta.news/notizia-falsa/2021/05/14/il-vaccino-pfizer-non-ha-causato-nessuna-catastrofe-in-israele/
United Kingdom,"May 14, 2021",There are eight vaccine deaths per day.,person,0,https://fullfact.org/online/1102-vaccine-adr-death/
India,"May 14, 2021","As India’s coronavirus death toll soared, a video of shoppers at a packed market surfaced filmed in Delhi.",social media,1,https://newsmobile.in/articles/2021/05/14/fact-check-visuals-of-overcrowded-market-from-lahore-0ly-linked-to-delhi-during-second-wave-of-covid-19/
United States,"May 14, 2021",Stanford study says face masks are ineffective against Covid-19,social media,0,https://www.newtral.es/bulo-estudio-universidad-stanford-mascarillas-perjudiciales/20210514/
United Kingdom,"May 14, 2021",There are now more deaths from the Covid-19 vaccine per day than there are with Covid-19 within 28 days of a positive test.,person,0,https://fullfact.org/online/1102-vaccine-adr-death/
India,"May 14, 2021",Actor Ajith donated Rs 2.50 crore for Covid 19 relief fund,person,0,https://tamil.factcrescendo.com/actor-ajith-not-donated-rs-2-50-crore-for-covid-19-relief-fund/
India,"May 13, 2021",People unwell on the streets of India during the Covid-19 pandemic in 2021. ,instagram,0,https://fullfact.org/health/incorrect-picture-included-with-article/
India,"May 13, 2021","Indian citizens are entitled to Rs. 7,000 per week to stay at home",social media,0,https://newsmobile.in/articles/2021/05/13/fact-check-are-indians-entitled-to-rs-7000-per-week-for-staying-at-home-to-stop-covid-19-spread-heres-the-truth/
China,"May 13, 2021","The Chinese laboratory in Wuhan where coronavirus emerged is owned by GlaxoSmithKline (GSK). The same GSK also owns Pfizer, the pharma company that produces vaccine for the virus.",facebook,0,https://www.indiatoday.in/fact-check/story/fact-check-conspiracy-theory-0ly-accuses-pharma-company-behind-covid-outbreak-and-vaccine-1802143-2021-05-13
India,"May 13, 2021",Indian destroying Idols of God for not protecting them against COVID-19.,social media,1,https://newsmobile.in/articles/2021/05/13/fact-check-old-videos-viral-as-indians-destroying-idols-because-of-covid-19/
United States,"May 13, 2021","Ohio is giving away $1 million to five residents who have received their COVID-19 vaccination in a ""Vax-a-Million"" lottery.",social media,2,https://www.snopes.com/fact-check/ohios-covid-vaccine-lottery/
Canada,"May 13, 2021",The Supreme Court of Canada accepted the case for crimes against humanity.,multiple sources,0,https://factcheck.afp.com/canadas-top-court-not-hearing-case-about-covid-19-crimes
Palestinian Territory,"May 13, 2021",Video shows fake funeral staged by Palestinians in Gaza in May 2021,multiple sources,0,https://factcheck.afp.com/video-has-circulated-posts-march-2020-about-covid-19-stunt-jordan
Brazil,"May 13, 2021","Doria Waited for the right time to get the Pfizer vaccine and didn""t take Coronavac",facebook,0,https://piaui.folha.uol.com.br/lupa/2021/05/13/verificamos-doria-pfizer-coronavac/
India,"May 13, 2021",People unwell on the streets of India during the Covid-19 pandemic in 2021. ,No data,0,https://www.rappler.com/newsbreak/fact-check/media-not-reporting-on-1-video-deaths-india
India,"May 13, 2021",Video shows police thrashing a man for violating lockdown in Karnataka recently.,facebook,1,https://www.indiatoday.in/fact-check/story/fact-check-old-video-from-mumbai-shared-as-police-thrashing-lockdown-violator-in-karnataka-1802211-2021-05-13
India,"May 12, 2021",Video shows villagers chasing away COVID testing and vaccination squads,facebook,0,http://checkyourfact.com/2021/05/12/fact-check-indian-villagers-clash-authorities-administer-covid-vaccines/
India,"May 12, 2021",The image of a supposed cemetery in India is from mass deaths caused by the pandemic,social media,0,https://www.animalpolitico.com/elsabueso/imagen-muestra-muertos-covid-india-no-fuga-de-gas/
India,"May 12, 2021",43 professors at Aligarh Muslim University succumbed to COVID19 in the last 20 days,social media,1,https://newsmobile.in/articles/2021/05/12/fact-check-viral-list-claiming-43-aligarh-muslim-university-professors-succumbed-to-covid-19-is-1/
Uganda,"May 12, 2021","Uganda only has 19 deaths related to the coronavirus because hydroxychloroquine ""is eaten like candy"" in the country.",person,0,https://dpa-factchecking.com/netherlands/210511-99-558259/
United States,"May 12, 2021",The Federal Communications Commission (FCC) was offering to cover part of the internet bill for eligible households that struggled to afford internet service during the COVID-19 pandemic.,government department,2,https://www.snopes.com/fact-check/fcc-internet-bill-covid-19/
India,"May 12, 2021",India produces more than 60% of the world's vaccines. Yet only 12% of the population has been vaccinated and the doses available to Indians are very few. Why? Because they produce for other richer countries,person,0,https://pagellapolitica.it/dichiarazioni/8894/no-lindia-non-ha-pochi-vaccini-per-se-perche-li-produce-per-i-paesi-piu-ricchi
India,"May 12, 2021",COVID-19 surge in India connected to rollout of vaccine,social media,0,https://www.usatoday.com/story/news/factcheck/2021/05/11/fact-check-indias-covid-19-surge-not-connected-vaccinations/4988690001/
India,"May 12, 2021",The viral image is of a body floating in the river Ganga amid the second wave of the coronavirus pandemic.,multiple sources,0,https://www.thequint.com/news/webqoof/2015-photos-of-dead-bodies-floating-in-the-ganga-shared-as-recent
United States,"May 12, 2021",The Federal Communications Commission (FCC) was offering to cover part of the internet bill for eligible households that struggled to afford internet service during the COVID-19 pandemic.,No data,2,https://www.snopes.com/fact-check/fcc-emergency-internet-bill-covid-19/
Poland,"May 12, 2021",A married couple died after the vaccine.,facebook,0,https://demagog.org.pl/fake_news/nie-malzenstwo-ze-zdjecia-nie-zmarlo-po-szczepieniu-przeciw-covid-19/
India,"May 12, 2021","A student from Pondicherry University has found a cure for COVID-19, which includes black pepper, ginger, honey.",social media,0,https://newsmeter.in/fact-check/fact-check-pondicherry-university-student-has-not-discovered-home-remedy-for-covid-19-678082
India,"May 12, 2021",Covaxin COVID-19 vaccine has been approved for kids above 12 years.,social media,0,https://factly.in/bharat-biotechs-covaxin-did-not-receive-any-approval-to-vaccinate-children-above-12-years/
India,"May 12, 2021","Biharis like this, use a bicycle to carry dead body while an MLA keeps ambulances hidden at his home and the person who breaks the news is jailed.",social media,0,https://www.boomlive.in/fact-check/photo-of-man-carrying-dead-body-on-cycle-covid-crisis-corona-virus-pandemic-lockdown-deaths-13130
Nigeria,"May 12, 2021","LESS than 24 hours after the announcement of COVID-19 restrictions across Nigeria, a video of the National Coordinator of the Presidential Task Force (PTF) on COVID-19, Sani Aliyu, telling the public to ignore lockdown rumours surfaced online.",social media,1,https://www.icirnigeria.org/covid-19-restriction-old-video-of-ptf-coordinator-sani-aliyu-resurfaces-online/
India,"May 12, 2021",Indian destroying Idols of God for not protecting them against COVID-19.,multiple sources,0,https://www.snopes.com/fact-check/india-hindus-idols-street-covid/
Spain,"May 12, 2021",María José Martínez Albarracín says that it is the vaccines against COVID-19 that are going to produce an epidemic,news media,0,https://maldita.es/malditaciencia/20210512/maria-jose-martinez-albarracin-medicos-por-la-verdad-espana-vacunas-covid-19-epidemia/
United Kingdom,"May 12, 2021",The British government acknowledges in an official document that the resurgence of both hospitalizations and deaths is dominated by those who have received two doses of the vaccine.,social media,0,https://maldita.es/malditobulo/20210512/gobierno-britanico-resurgimiento-hospitalizaciones-muertes-dominado-vacunados-covid-19/
France,"May 12, 2021",The prestigious French epidemiologist Eric Caumes affirms that he is not going to be vaccinated against covid-19 because he has never seen such a high rate of adverse effects,person,0,https://www.efe.com/efe/espana/efeverifica/es-falso-que-un-prestigioso-epidemiologo-frances-rechace-la-vacunacion-contra-covid/50001435-4534804
India,"May 12, 2021",The viral image is of a body floating in the river Ganga amid the second wave of the coronavirus pandemic.,person,0,https://www.boomlive.in/fact-check/fake-news-viral-photo-ganga-river-dead-bodies-2015-photo-covid-19-bihar-buxar-factcheck-13126
India,"May 11, 2021",Insurance for COVID-19 deaths can be claimed under Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY) and Pradhan Mantri Suraksha Bima Yojana (PMSBY),social media,1,https://newsmobile.in/articles/2021/05/11/fact-check-can-insurance-benefits-for-covid-19-deaths-be-claimed-under-pmjjby-and-pmsby-heres-the-truth/
France,"May 11, 2021","On May 19, toilets inside restaurants, cafes and bars will remain closed",social media,0,https://www.liberation.fr/checknews/est-il-vrai-que-les-clients-des-terrasses-des-restaurants-et-bars-ne-pourront-pas-aller-aux-toilettes-a-louverture-le-19-mai-20210511_AN7BHRSH2FEFXMK537OFUOTHAE/
India,"May 11, 2021",Video shows COVID protocol flouted in a market in India,multiple sources,1,https://factcheck.afp.com/video-shows-failed-covid-19-vaccination-attempt-ecuador-not-india
Israel,"May 11, 2021","A report from ""leading health experts"" from Israel shows that never before has a vaccine ""harmed"" so many people as the Covid-19 vaccine. Mortality in Israel has risen sharply in connection with the vaccinations.",multiple sources,0,https://correctiv.org/faktencheck/2021/05/11/israel-nein-ein-bericht-des-israeli-peoples-committee-belegt-keine-erhoehte-sterblichkeit-durch-covid-19-impfungen/
India,"May 11, 2021",The video shows children and adults in India who pack RT-PCR test kits without any protective measures.,social media,1,https://fakenews.pl/zdrowie/czy-na-nagraniu-z-indii-dzieci-przygotowuja-zestawy-do-testow-na-covid-19-sprawdzamy/
United States,"May 11, 2021",Claims the FDA will not authorize or approve any vaccine for COVID-19.,person,0,https://www.newtral.es/teresa-forcades-bulo-vacunas-covid-19/20210511/
United States,"May 11, 2021",“[Michigan Governor Gretchen Whitmer] has made her entire state hostage to being vaccinated. Get the jab or suffer gunpoint-enforced lockdowns: They won’t end until 70% of the state’s adults surrender to being injected.”,person,0,https://www.polygraph.info/a/fact-check-rt-anti-vaxx-michigan/31250040.html
India,"May 11, 2021","After so many people died of Covid in India, Hindus lost faith in their religion and have started converting to Islam after destroying their idols.",facebook,0,https://www.indiatoday.in/fact-check/story/fact-check-2019-video-of-swachh-sabarmati-mission-shared-as-hindus-destroying-idols-during-covid-1801275-2021-05-11
India,"May 11, 2021",Covaxin COVID-19 vaccine has been approved for kids above 12 years.,social media,0,https://www.indiatoday.in/fact-check/story/covaxin-bharat-biotech-children-above-12-years-1801330-2021-05-11
India,"May 11, 2021","As India’s coronavirus death toll soared, a video of shoppers at a packed market surfaced filmed in Delhi.",social media,0,https://www.thequint.com/news/webqoof/video-from-lahore-passed-off-as-covid-19-norms-flouted-in-delhi
United States,"May 11, 2021",Claims the FDA will not authorize or approve any vaccine for COVID-19.,multiple sources,0,https://factcheck.afp.com/us-regulators-have-already-granted-emergency-use-authorisation-three-covid-19-vaccines
United Kingdom,"May 10, 2021","There’s a do not resuscitate across the UK on the elderly, on the disabled.",facebook,0,https://fullfact.org/health/do-not-resuscitate-video/
Poland,"May 10, 2021","(...) for example in our region (Podkarpacie - note by Demagog), the voivode responsible for it has the highest mortality rate (on COVID-19 - note by Demagog) of all other provinces.",person,0,https://demagog.org.pl/wypowiedzi/czy-wspolczynnik-smiertelnosci-na-covid-19-jest-najwyzszy-na-podkarpaciu/
India,"May 10, 2021",Sky News criticized Indian foreign minister of violating COVID quarantine norms after two Indian delegated tested positive,multiple sources,0,https://www.altnews.in/1-video-portrays-eam-jaishankar-meeting-g7-delegates-after-covid-scare/
Kenya,"May 10, 2021",Kenya is number seven in the whole world in terms of vaccination.,person,0,https://africacheck.org/fact-checks/reports/top-official-gets-it-wrong-kenya-nowhere-near-seventh-world-covid-19
South Africa,"May 10, 2021",South Africa has not vaccinated its elderly due to a lack of data.,facebook,3,https://fullfact.org/online/letter-mhra-filled-0-covid-19-claims/
India,"May 10, 2021",People unwell on the streets of India during the Covid-19 pandemic in 2021. ,facebook,1,https://fullfact.org/health/gas-leak-not-covid-19/
India,"May 10, 2021",Military hospitals opened for COVID treatment of civilians,social media,0,https://newsmeter.in/fact-check/selected-military-hospitals-opened-for-covid-treatment-of-civilians-678009
United States,"May 10, 2021",Two-year-old girl who had received the Pfizer vaccine only six days before dies,various authors,0,https://fakenews.pl/zdrowie/nie-dwuletnie-dziecko-nie-zmarlo-po-podaniu-szczepionki-przeciwko-covid-19/
India,"May 10, 2021",Message About COVID-19 Attributed To Isha Foundation's Head Sadhguru Vasudev,social media,0,https://newsmobile.in/articles/2021/05/10/fact-check-message-about-covid-19-0ly-attributed-to-sadhguru-jaggi-vasudev-goes-viral/
California,"May 10, 2021","Researchers at the University of California have not found a single positive among 1,500 corona tests",social media,0,https://www.tjekdet.dk/faktatjek/amerikansk-professor-skulle-have-udtalt-covid-19-ikke-eksisterer-men-han-eksisterer
Brazil,"May 10, 2021",Covid-19 CPI senators do nothing and hope for chaos,social media,0,https://www.aosfatos.org/noticias/e-falso-que-teich-disse-na-cpi-da-covid-19-que-senadores-torcem-pelo-caos/
United Kingdom,"May 10, 2021",The NHS was not “overwhelmed” during Covid-19.,facebook,0,https://fullfact.org/online/letter-mhra-filled-0-covid-19-claims/
United States,"May 10, 2021",US government data shows the death rate from COVID-19 vaccines.,person,0,https://www.boomlive.in/world/fake-news-covid-19-vaccine-tucker-carlson-death-rate-13101
United States,"May 10, 2021",Nine children are believed to have died from anti-covid vaccination in the United States,No data,0,https://www.liberation.fr/checknews/y-a-t-il-eu-9-enfants-morts-apres-vaccination-aux-etats-unis-20210507_MVQRCHUWFFGCLFXMYNS2BW3624/
Brazil,"May 10, 2021","Form of members of the covid-19 CPI: senators respond to more than 2,400 lawsuits",multiple sources,0,https://checamos.afp.com/ficha-dos-integrantes-da-cpi-da-covid-inclui-acoes-iniciadas-por-eles-e-outras-de-homonimos
Sri Lanka,"May 10, 2021",Capsule used in Karapitiya hospital cures Covid-19 in Sri Lanka,multiple sources,0,https://factcheck.afp.com/supplement-0ly-touted-covid-19-treatment-sri-lanka-scam-health-experts-say
United Kingdom,"May 10, 2021",External affairs minister S Jaishankar refused to quarantine despite two of his team members testing Covid-positive during the G7 summit in London. He also violated Covid protocols by meeting US Secretary of State and British Home Secretary during the summit.,social media,0,https://www.indiatoday.in/fact-check/story/fact-check-edited-clip-shared-as-foreign-minister-jaishankar-violating-covid-norms-during-g7-1800887-2021-05-10
United Kingdom,"May 10, 2021",UK government modelling shows up to 70 per cent of COVID-19 vaccine recipients are expected to die in a third wave of the virus.,instagram,0,https://www.aap.com.au/the-uk-isnt-expecting-most-covid-19-vaccine-recipients-to-die-in-a-third-wave/
United States,"May 9, 2021",Two-year-old girl who had received the Pfizer vaccine only six days before dies,multiple sources,0,https://www.usatoday.com/story/news/factcheck/2021/05/09/fact-check-no-evidence-2-year-old-died-covid-vaccine/4971367001/
United States,"May 9, 2021","In May 2021, Montana Gov. Greg Gianforte announced the state will end its participation in federal pandemic-related unemployment benefit programs.",person,2,https://www.snopes.com/fact-check/montana-cancel-unemployment/
India,"May 9, 2021",Oxygen is being intentionally wasted at Delhi's DDU hospital amid the COVID19 crisis,social media,0,https://newsmobile.in/articles/2021/05/09/fact-check-is-oxygen-being-wasted-at-delhis-ddu-hospital-amid-covid-19-crisis-heres-the-truth/
India,"May 8, 2021",The image of a supposed cemetery in India is from mass deaths caused by the pandemic,social media,0,https://www.newtral.es/bulo-foto-cremacion-india-coronavirus-fuga-gas-fabrica/20210508/
United States,"May 8, 2021","According to a report from the VAERS database, a 2-year-old child died after the 2nd dose of the Pfizer / BioNTech vaccine for COVID-19, after participating in clinical trials for this vaccine.",multiple sources,0,https://www.ellinikahoaxes.gr/2021/05/08/2-year-old-dies-after-covid19-vaccine-hoax/
India,"May 8, 2021","Dead bodies carried on cycle, during Covid-19 second wave",social media,0,https://newsmobile.in/articles/2021/05/08/fact-check-old-pictures-of-dead-bodies-being-carried-on-rickshaw-linked-to-covid-19-deaths/
India,"May 8, 2021",A video that is claimed to be a video of Indians carrying out acts of anarchy due to frustration and anger due to the implementation of a lockdown in the midst of the Covid-19 pandemic,facebook,0,https://cekfakta.tempo.co/fakta/1363/keliru-klaim-ini-video-aksi-anarki-warga-india-akibat-frustasi-karena-covid-19
Portugal,"May 8, 2021","Fernando Nobre, founder and president of AMI, appears in a video stating that ""the lethality of this disease [Covid-19] is the lethality of a flu",social media,0,https://poligrafo.sapo.pt/fact-check/o-virus-da-gripe-ja-nao-existe-e-a-covid-19-tem-a-letalidade-de-uma-gripe
Saudi Arabia,"May 8, 2021",Video and photos of an oxygen tanker with a Reliance Foundation sticker proving Reliance took credit for Saudi Arabias donation.,social media,0,https://www.boomlive.in/fact-check/fake-news-covid-19-reliance-industries-saudi-arabia-oxygen-tanker-mukesh-ambani-13068
Philippines,"May 7, 2021",The Makati Medical Center (MMC) released an advisory about COVID-19 vaccines.,social media,0,https://www.rappler.com/newsbreak/fact-check/makati-medical-center-says-covid-19-vaccines-weaken-immune-system
